Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA2 (UR) by MTW06P Method of Travel to Work (6 travel modes)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"MTW06P Method of Travel to Work (6 travel modes)","Public Transport","Vehicle","Active Transport","Other Mode","Worked at home or Did not go to work","Mode not stated","Not applicable","Total",
"SA2 (UR)",
"Braidwood",21,1066,121,20,385,36,1581,3225,
"Karabar",84,3524,78,14,433,51,2438,6622,
"Queanbeyan",163,4512,294,17,563,56,3561,9169,
"Queanbeyan - East",65,2112,126,23,300,15,1339,3984,
"Queanbeyan Region",95,7010,173,50,1387,89,4558,13376,
"Queanbeyan West - Jerrabomberra",88,6045,109,39,809,39,2603,9728,
"Bombala",3,756,60,15,198,19,923,1991,
"Cooma",28,2152,228,27,418,46,2775,5677,
"Cooma Region",17,1057,76,17,379,25,1153,2720,
"Jindabyne - Berridale",133,2446,423,72,772,49,1812,5711,
"Batemans Bay",19,1955,113,16,411,18,3914,6452,
"Batemans Bay - South",43,2183,85,17,475,47,4302,7162,
"Bega - Tathra",20,2543,241,23,622,26,3375,6852,
"Bega-Eden Hinterland",27,2559,137,41,873,62,3630,7334,
"Broulee - Tomakin",9,938,64,9,204,13,1561,2790,
"Deua - Wadbilliga",0,5,0,0,4,0,15,25,
"Eden",6,847,77,10,180,27,1565,2717,
"Eurobodalla Hinterland",15,990,69,14,306,16,1423,2823,
"Merimbula - Tura Beach",32,2979,211,31,807,48,5055,9154,
"Moruya - Tuross Head",24,2164,123,21,496,49,4016,6893,
"Narooma - Bermagui",17,1977,149,27,632,51,4986,7831,
"Goulburn",129,7787,358,40,1286,112,9032,18738,
"Goulburn Region",55,3927,209,59,1366,85,4726,10428,
"Yass",54,2209,118,18,538,29,2225,5181,
"Yass Region",80,4356,192,47,1263,76,3069,9089,
"Young",25,3261,193,20,636,58,4164,8348,
"Young Region",17,2014,228,52,745,49,2949,6060,
"Avoca Beach - Copacabana",272,2542,49,18,709,29,2112,5741,
"Box Head - MacMasters Beach",589,3047,55,24,982,44,4098,8836,
"Calga - Kulnura",136,1333,143,35,559,43,1706,3955,
"Erina - Green Point",467,3932,144,23,1012,40,6051,11675,
"Gosford - Springfield",1277,5584,339,29,1206,61,7190,15692,
"Kariong",274,2386,30,16,433,18,1811,4967,
"Kincumber - Picketts Valley",222,2133,54,12,487,36,3110,6057,
"Narara",442,2291,18,14,503,33,2033,5321,
"Niagara Park - Lisarow",391,2797,54,13,630,20,2446,6355,
"Point Clare - Koolewong",569,1684,46,11,475,24,2275,5087,
"Saratoga - Davistown",203,2409,40,10,496,28,2437,5624,
"Terrigal - North Avoca",483,4783,134,42,1084,56,4395,10967,
"Umina - Booker Bay - Patonga",1692,5598,242,53,1477,120,10555,19734,
"Wamberal - Forresters Beach",257,3432,49,15,883,38,2978,7652,
"Woy Woy - Blackwall",1210,3009,150,17,830,77,6512,11804,
"Wyoming",585,3276,84,9,698,48,4658,9351,
"Bateau Bay - Killarney Vale",455,7241,159,29,1344,96,8527,17854,
"Blue Haven - San Remo",172,3695,30,20,596,43,3909,8460,
"Budgewoi - Buff Point - Halekulani",106,2810,60,25,533,55,4193,7778,
"Chittaway Bay - Tumbi Umbi",374,5620,94,37,1061,56,5066,12313,
"Gorokan - Kanwal - Charmhaven",447,6320,161,42,1191,134,9840,18128,
"Jilliby - Yarramalong",60,1199,29,4,336,16,1076,2723,
"Lake Munmorah - Mannering Park",108,3159,54,21,575,42,5087,9041,
"Ourimbah - Fountaindale",188,1811,35,16,385,22,1426,3889,
"Summerland Point - Gwandalan",48,1918,26,16,320,18,2383,4728,
"The Entrance",333,4340,149,25,893,81,6759,12581,
"Toukley - Norah Head",114,2667,67,18,541,52,4802,8258,
"Tuggerah - Kangy Angy",212,1744,89,3,344,12,1772,4182,
"Warnervale - Wadalba",428,5145,74,28,963,55,4719,11418,
"Wyong",319,2401,70,23,479,37,3805,7136,
"Bathurst",118,8089,588,42,1509,103,9069,19516,
"Bathurst - East",49,3989,112,21,689,51,3570,8473,
"Bathurst Region",16,2296,82,24,653,51,2563,5694,
"Oberon",10,1426,95,15,347,37,1937,3864,
"Condobolin",31,1809,235,42,521,41,2538,5206,
"Cowra",16,2619,182,19,499,45,4136,7516,
"Cowra Region",10,1519,114,20,560,47,2204,4470,
"Forbes",43,3085,209,34,739,64,3957,8131,
"Grenfell",6,867,110,12,408,29,1609,3041,
"Parkes (NSW)",50,3408,217,21,634,43,4311,8691,
"Parkes Region",7,805,109,19,385,21,1406,2755,
"West Wyalong",84,1570,154,49,619,52,2180,4704,
"Lithgow",95,3424,261,21,664,61,6148,10671,
"Lithgow Region",52,2442,122,14,600,46,3545,6820,
"Mudgee",21,3956,246,15,725,72,4094,9136,
"Mudgee Region - East",10,737,63,6,242,19,1815,2897,
"Mudgee Region - West",20,2822,193,20,921,57,4291,8329,
"Wollangambe - Wollemi",0,0,0,0,0,0,0,0,
"Blayney",29,2377,139,17,630,38,2530,5761,
"Orange",107,5941,444,28,1043,87,7892,15532,
"Orange - North",81,7691,200,34,1233,67,5663,14963,
"Orange Region",23,4040,217,46,1140,78,3510,9062,
"Grafton",49,4961,440,26,959,63,8692,15191,
"Grafton Region",47,4197,167,49,1077,78,7191,12805,
"Maclean - Yamba - Iluka",41,3794,342,59,985,82,8736,14044,
"Bellingen",13,1509,153,14,533,43,2310,4568,
"Coffs Harbour - North",68,5390,292,43,965,83,7408,14254,
"Coffs Harbour - South",55,3023,276,34,567,32,4704,8686,
"Coramba - Nana Glen - Bucca",10,1314,40,10,335,24,1330,3066,
"Dorrigo",9,721,95,8,330,20,1549,2727,
"Korora - Emerald Beach",28,3192,78,10,677,26,2929,6944,
"Sawtell - Boambee",70,6359,259,45,1179,94,7837,15839,
"Urunga",8,1329,60,19,339,27,2236,4019,
"Woolgoolga - Arrawarra",40,3926,141,34,667,63,5417,10280,
"Bourke - Brewarrina",11,897,263,17,193,23,1655,3070,
"Cobar",20,1402,148,27,384,38,1610,3628,
"Coonamble",13,1004,117,27,340,31,1730,3253,
"Nyngan - Warren",57,1400,169,20,401,33,1880,3965,
"Walgett - Lightning Ridge",15,1378,271,29,419,47,2961,5126,
"Broken Hill",63,5357,361,28,1001,94,7864,14763,
"Far West",3,425,178,29,278,26,1094,2030,
"Coonabarabran",19,1846,252,33,664,57,3670,6539,
"Dubbo - East",35,3963,121,9,601,50,3420,8208,
"Dubbo - South",82,6601,364,44,875,81,5434,13480,
"Dubbo - West",30,3224,98,18,406,32,2942,6756,
"Dubbo Region",15,2082,62,28,573,37,1642,4436,
"Gilgandra",4,1193,143,19,460,29,1702,3551,
"Narromine",16,1850,174,35,509,50,2494,5126,
"Wellington",25,2080,170,35,521,51,4345,7224,
"Branxton - Greta - Pokolbin",30,3577,122,28,952,63,3055,7827,
"Cessnock",80,6139,178,29,1264,101,9846,17635,
"Cessnock Region",36,2483,52,11,673,57,3075,6386,
"Dungog",29,2851,147,23,782,55,3427,7315,
"Kurri Kurri - Abermain",78,5618,103,27,969,79,7156,14033,
"Singleton",55,6009,331,112,1002,56,5077,12643,
"Singleton Region",15,1562,51,15,523,37,1708,3909,
"Maitland",71,2351,100,10,392,23,2284,5228,
"Maitland - East",255,9638,213,45,1723,83,9793,21758,
"Maitland - North",52,2954,79,13,586,22,2174,5889,
"Maitland - West",186,7948,137,39,1449,84,7487,17328,
"Thornton - Millers Forest",109,4105,66,22,775,33,2603,7712,
"Anna Bay",44,1836,82,15,369,22,2418,4789,
"Lemon Tree Passage - Tanilba Bay",42,1737,46,12,403,38,3218,5498,
